word,pos,meaning,sentence,sentence_meaning
collar,n.,衣领；项圈,She turned up his coat collar against the chilly wind,
sleeve,n.,袖子,A stranger pulled at my sleeve as I was leaving,
sock,n.,短袜,There is a hole in my sock,
stocking,n.,（女式）长筒袜,The thief musked his face with a stocking,
slipper,n.,拖鞋,No slipper is allowed in the laboratory,
boot,n.,靴子,My foot won't go into this boot,
lace,n.,鞋带,He stopped to tie the laces of his sneakers,
tailor,n./v.,裁缝；专门制作,The tailor can alter your new coat to fit you,
sew,v.,缝补；缝制,The skirt is finished and I'm going to sew a pocket.,
spin,v./n.,纺；（使）旋转；高速旋转；（乘车）兜风,We took a spin around the town,
stitch,n./v.,针脚；缝,My mother is stitching a new dress,
needle,n.,针,The needle pierced her finger,
pin,n./v.,别针；大头针；别住，钉住,Pin the bills together so you won't lose them,
string,n.,线；一串,We have had a string of complaints about the program,
thread,n.,线；螺纹,She is looking for threads which match the cloth,
strap,n./v.,带子；用带子系,A safety strap is used to prevent falling,
stripe,n.,条纹,The body of a zebra is marked by black and white stripes,
ribbon,n.,缎带；丝带,Her hair was tied up with a ribbon,
belt,n.,腰带，皮带；地带，地区,A belt of trees grew between the two fields,
chain,n.,链子；链条,She wore a silver chain around her neck,
bracelet,n.,手镯,I'd like you to take this bracelet as a gift,
necklace,n.,项链,I valued this necklace at five thousand dollars,
bead,n./v.,珠子，（液体的）小滴；形成珠状,She wore a string of beads around her neck,
textile,n./adj.,纺织品；纺织的,He intends to retail textile goods,
velvet,n.,丝绒；天鹅绒,The lawn looks like green velvet,
wool,n.,（羊等的）毛；毛线,He found a job of shearing wool from sheep,
patch,n./v.,补丁，（与周围不同的）小片；补缀,She sewed a patch onto the knee of the trousers 她在裤子的膝部缝了个补丁,
rag,n.,破布,She wrapped the box with an old rag,
shabby,adj.,破旧的；衣衫褴褛的,His shabby appearance creates a bad impression,
tight,adj.,紧的,This drawer is too tight for me to open it,
"colour, color",n.,颜色；颜料,"Due to the use of natural pigments, these folk paintings retain their color well. 因为使用了天然颜料，这些民俗画的颜色很好地保留了下来",
white,adj./n.,白的；白色,He was white with fury 他气的脸色发白,
yellow,adj./n.,黄的；黄色,The leaves turn yellow in autumn,
brown,adj./n.,褐色的；褐色,He had brown skin,
"grey, gray",adj./n.,灰色的；灰色,She dressed in grey,
pink,adj./n.,粉色的；粉色,She carried a spray of pink roses,
purple,adj./n.,紫色的；紫色,That girl liked to wear purple dresses,
tan,adj./n.,棕黄色的；棕黄色；晒成的棕褐色,It took me all summer to get this tan,
fade,v.,逐渐消失；（使）褪色,Beauty fades like a flower,
stain,v./n.,污染；污渍,The coffe stained her shirt brown,
blot,n.,污点,The new power station is a blot on the landscape,
figure,n./v.,身材；身影；重要人物；数字；认为,I could see a tall figure near the door,
slender,adj.,苗条的；微弱的,All of us admired her slender figure,
slight,adj.,纤细的；轻微的,Our army suffered a slight reverse,
stuff,n.,东西；原料,I've got quite a lot of stuff to read,
item,n.,一件物品；一件商品,She couldn't wedge another item into the suitcase,
merchandise,n.,商品,We often call these goods merchandise,
souvenir,n.,纪念品,These souvenirs were gathered from all parts of the world,
"artifact, artefact",n.,人造物品；手工艺品,Software is a cultural artifact of the modern world,
material,n./adj.,材料；原料；人才；物质的,There is singer material among these young girls,
raw,adj.,天然的；未经加工的；（感情）原始的,Today the main resources of raw cotton are China and India,
crude,adj.,天然的；未经加工的；粗糙的,The price of crude oil has come down recently,
necessity,n.,必需品；必要,Water is a necessity of life,
outfit,adj./n.,全套服装；全套装备；配备；装备,The football team were wearing orange outfits,
kit,n.,成套工具,There is a repair kit provided in the boot of each car,
utensil,n.,（家庭）用具；器皿,"He took a camping utensil that can serve as a knife, fork, and spoon to school",
garbage,n.,（尤美）垃圾；废物,They fouled the water by throwing in garbage,
rubbish,n.,（尤英）垃圾；废弃物；废话,The dustman comes once a week to collect the rubbish,
trash,n.,（美）垃圾,Trash can do a great demage to the environment,
recycle,v.,使再循环；回收利用,I plan on recycling old warehouses as condominiums,
reuse,v.,再次使用,These bottles are designed to be reused up to twenty times,
litter,n./v.,垃圾；废弃物；乱丢东西,Litter covered the cinema floor after the film,
waste,n./v.,废物；浪费,It's a waste of time to speak to her,
junk,n.,无用的东西；废物,What about junk food?,
landfill,n.,垃圾填埋地；垃圾填埋,Americans send more than 30 million tons of food to the landfill every year,
sewerage,n.,排水系统；污水处理系统；（=sewage）污水,Our town has a modern sewerage system,
detergent,n.,洗涤剂,He recommended a new detergent to me,
lotion,n.,洁肤乳；润肤乳,This lotion helps brighten and smooth your skin,
shampoo,v./n.,用洗发剂（头发）；洗发剂,She weted her hair and then put shampoo on it,
soap,n./v.,肥皂；用肥皂擦洗,Don't touch anything before you soap your hands,
tub,n.,桶；盆；（美）鱼缸；浴盆,She comforted her husband by putting his feet in a tub of hot water,
plug,n./v.,塞子；插头；把...塞住,You don't need to plug your ears since the music is not so loud,
tap,n.,旋塞；龙头,He rigged a rubber hose to tap in kitchen,
pipe,n.,管子；管道；烟斗,"All through the afternoon and the evening, he went on thinking silently and smoking pipe after pipe",
tube,n.,管；显像管；（英国/伦敦）地铁,She passed me a tube of toothpaste,
mop,n./v.,拖把；用拖把擦,She mopped up the water,
broom,n./v.,扫帚；用扫帚扫,She used a broom to sweep up the scraps of paper,
sweep,v.,打扫；（迅猛的）吹走；掠过,I saw the tops of trees moving in circles and pieces of wood were swept up into the air,
mattress,n.,床垫,"A mattress is filled with feathers, cotton, or straw",
carpet,n.,地毯,The armchair blends well with the color of the carpet,
rug,n.,小地毯；（盖肩或腿的）小毛毯,He bargained with the merchant for an hour before he bought the rug,
mat,n.,地垫,I wiped my shoes on the mat before I came in,
cushion,n.,软垫,She plumps up the sofa cushion 她把沙发垫拍得鼓鼓的,
pad,n./v.,衬垫；便签本；（用软材料）填塞,She always kept a pad and a pencil by the phone,
blanket,n.,毛毯；毯子,She huddled herself in the blanket,
quilt,n.,被子,"If you air your quilt on such a wet day, it'll soak up the moisture",
sheet,n.,被单；床单；一张（纸）；薄板,We changed the sheet every week,
pillow,n.,枕头,My daughter asked me to buy her a pillow stuffed with feathers,
sponge,n.,海绵,That child soaks up new facts like a sponge,
towel,n.,毛巾,I dry my hands and face with the towel,
staple,n.,订书钉；主要部分,He used a pair of scissors to take the staple out of the document,
nail,n./v.,指甲；钉子；（用钉子）钉住,Please hammer a nail into the wall,
razor,n.,剃刀；（用剃刀）剃,"He razored his face, clean off the beard",
shave,v.,剃须；刮脸,I lathered my face and started to shave,
fuse,n./v.,保险丝；导火线；（使）融化、融合,We fuse copper and tin to make bronze,
cable,n.,电缆；缆绳；电报；有线电视,This country has almost 15 milliion subscribers to satellite and cable television,
cord,n.,细绳；粗线；（体内的）线、索、带,Our voices depend on our vocal cords,
strand,n.,缕，股；滨，岸,One strand of silk doesn't make a thread; One tree doesn't make a forest 单丝不成线，独木不成林,
match,n./v.,火柴；比赛；匹配的人或物；与...匹配,A high standard of play marked the match between the two teams,
candle,n.,蜡烛,The candle was blown out by the wind,
wax,n.,蜡；蜂蜡,The candle gutters when the melted wax runs down its sides,
portfolio,n.,文件夹；公事包,She has left her portfolio in a chair,
paperback,n.,简装书；平装书,This bookshop only sells paperbacks,
pamphlet,n.,小册子,I took a few pamphlets from the travel agency,
tissue,n.,面巾纸；（器官）组织,She wipes off the sweat from her face with a tissue,
cover,n.,封面；盖子；套子,The front cover of the novel has been torn off,
Xerox,n.,施乐复印机,He kept the original copy and gave her only a Xerox,
duplicate,v./n.,重复；副本；复制品,Don't duplicate what you have already done,
memorandum,n.,备忘录；建议书；=memo,They agreed on the memorandum,
stationery,n.,文具；信纸,Stationery can be imprinted with your message or logo,
glue,n.,胶水,Stick them on the card using a small amount of glue,
ink,n.,墨水,"If the ink sinks in, it would be hard to remove it",
rubber,n.,（英）橡皮擦；橡胶,Rubber is the country's principal export,
scissors,n.,剪刀,It is rumored that Leonardo da Vinci invented the scissors,
shear,n./v.,shears（尤指修篱笆用的）大剪刀；剪,"With a few quick snips of the shears, he pruned the bush",
edge,n.,边；边缘；刀口,Look out! You could fall off the edge here,
rim,n.,（圆形物品的）外缘、边缘,Mike liked very much the golden rims of his glasses,
element,n.,元素；组成部分；基本部分,Both hydrogen and oxygen are elements,
factor,n.,因素；要素,Her friendly manner is an important factor in her rapid success,
section,n.,部分；章；节,One section of the class is reading and the other is writing,
tag,n.,标签；称号,Don't forget to put tags with your name and address on your suitcases,
label,n.,标签；标贴,I read the information on the labels before deciding which jam to buy,
badge,n.,徽章；证章；标志；象征,Wisdom is the badge of maturity,
bolt,n./v.,螺栓；插销；闩上（门、窗）,We need an eye bold to fit this valve,
knob,n.,球形把手；旋钮,He twisted the knob of the door and went inside,
handle,n./v.,柄；把手；拿；处理,You have to press on the handle to turn it. It's very stiff,
shutter,n./v.,百叶窗；快门；停止（营业）,The company shuttered its Hong Kong investment banking business a year ago,
curtain,n./v.,窗帘；幕布；给...装上帘子,I have enough material to curtain all the windows,
pane,n.,（一块）玻璃窗,He suffered a lot of pain after he accidentally broke a pane of glass,
opacity,n.,不透明性,They have chosen the frosted glass owing to its opacity,
jar,n.,罐；广口瓶；猛烈震动,I can't get the lid off this jar,
barrel,n.,桶,The wine is aged in oak barrels,
bucket,n.,（有提手的）桶,One bucket of paint will be enough for the ceiling,
pail,n.,（尤美-通常是金属或者木质的）桶；提桶,He tipped the slops out of the pail,
phone,n.,电话,We swapped phone numbers,
bell,n.,钟，铃,I was roused by the sound of the bell this morning,
camera,n.,照相机,You'd better declare the camera to the official,
portable,adj.,手提式的；便携的,The new portale computers are selling like hot cakes,
spotlight,n.,聚光灯,The spotlight followed the dancer around the stage,
lantern,n.,提灯；灯笼,"The ice lantern festival, held in Harbin every winter, is fantastic",
bulb,n.,电灯泡；球茎；球茎状物,An efficient bulb may lighten the load of power stations,
flashlight,n.,闪光灯的闪光；手电筒,You can use the flashlight when you take a photo indoors,
refrigerator,n.,冰箱,My refrigerator suddenly broke down yesterday evening,
fridge,n.,冰箱,The butter will soften out of the fridge,
vacuum,n./adj.,真空；真空吸尘器；真空的,The food is kept in a vacuum pack,
fan,n./v.,扇子；风扇；狂热爱好者；扇,He has charmed most of them into membership of his fan club,
switch,n./v.,开关；转换；,Press the switch to see if the light comes on,
hurdle,n.,栏架；跨栏赛跑,"With her speed and agility, she can beat all her competitors in the hurdle race",
fence,n.,栅栏；围栏,That fence is the limit of the schoolyard,
pedal,n./v.,踏板；踩踏板,One of the pedals has come off my bicycle,
shelf,n.,架子；隔板,The shelf is too weak to hold all those books,
ladder,n.,梯子；阶梯,Diligence is often a ladder to success,
lift,v./n.,提；抬；提高；（英）电梯（美 elevator）,This box is too heavy for me to lift,
stool,n.,凳子,"Because of that stool and a pair of computers, I gained a best friend",
drawer,n.,抽屉,The keys are in the back left hand corner of the drawer,
umbrella,n.,伞,The wind blew my umbrella inside out,
raincoat,n.,雨衣,He had no raincoat on when the rain started,
dredge,n./v.,挖泥船；挖掘机/挖掘；撒（糖；面粉等）,She dredged a little sugar over the cake,
can,v./n.,把（食品）罐装保存；罐头；听,She was carrying an armful of cat food cans and talking to herself,
mill,n./v.,磨粉机；磨坊/碾碎；无目的地乱转,Corn is ground into flour in a mill,
forge,n./v.,炼铁炉；锻造；伪造,These machine parts have been forged with the finest steel,
alloy,n.,合金；（金属的）成色,Brass is an alloy of copper and zinc,
metal,n.,金属,A gust of wind pried loose a section of sheet metal roofing,
iron,n./v.,铁；熨斗；熨；烫,They analyzed the ore and found iron in it,
lead,n.,铅,Lead is one of the softer metals,
brass,n.,黄铜；黄铜制品,Brass is formed by the fusion of copper and zinc,
bronze,n.,青铜；青铜艺术品,We fuse copper and tin to make bronze,
cement,n./v.,水泥；胶结剂；使黏结,The mixed cement has been hoisted up the building,
pitch,n.,沥青,They used pitch to cover roofs,
lime,n.,石灰,Lime in the soil is detrimental to some plants,
plaster,n.,灰泥；熟石膏,The plaster had started to come away from the wall,
leather,n.,皮革；皮衣,Wax polish preserves wood and leather,
plastic,n./adj.,塑料；有塑性的；塑料的,Many items in daily use are made out of plastic,
"fiber, fibre",n.,纤维；纤维素,Scientists are recommending that people eat more fiber,
fabric,n.,织物；布料,The jacket is comfortable because the fabric breathes,
knit,v.,编织；针织,My grandmother knited me some socks,
weave,v.,编织；编造,We're weaving garlands of flowers for heros,
canvas,n.,帆布；油画布,They carried canvas sacks over their shoulders,
linen,n.,亚麻布；亚麻织品,"Low elasticity, imparting a hard and smooth texture, makes linen subject to wrinkling",
cotton,n.,棉；棉线；棉布,The cotton has been picked and weighed up,
nylon,n.,尼龙,This dress is eighty percent nylon,
lumber,n.,木材；木料,"Forested areas have been expanding every year, with the amount of increase in standing timber greater than that of the felled lumber",
wooden,adj.,木制的；呆板的,There is a wooden porch over the sidewalk,
mine,n.,矿场；矿井；地雷,The mine was closed owing to exhaustion,
pit,n.,深坑；煤矿；潜在危险,"When you fall into a pit, you either die or get out",
fuel,n./v.,燃料；给...加燃料,We aim for a ten percent saving in fuel,
lubricate,v.,润滑；加润滑油于,We find it necessary to lubricate machines,
diamond,n.,金刚石；钻石；菱形,The diamond ring on her finger glittered in the light,
crystal,n.,水晶；结晶；晶体,People imitate diamond with crystal,
inferior,adj./n.,差的；下级的；低等的；级别/地位低的人；次品,I grudge paying so much for such inferior goods,
counterfeit,adj./v.,假冒的；伪造,It is against the law to counterfeit money,
fake,adj./n.,假冒的；冒充者；假货,"On closer examination, the painting was proved to be a fake",
fragile,adj.,易碎的；脆弱的,Glass is fragile and must be handled with great care,
miniature,adj./n.,微型的；很小的/微缩模型；微型画,The locket contained a miniature portrait of her late husband,
available,adj.,可获得的,Water and electric hookups are available and facilities are good,
durable,adj.,耐用的；持久的,Some parts of the machine have to be made from durable materials,
navigate,v.,航行；横渡,He was the first man who navigated the Atlantic alone,
voyage,n.,航海，航行；旅行,He goes on a voyage on a warship in the name of the government,
aviation,n.,航空；航空学；航空工业,He was a pilot in the early days of aviation,
journey,n.,旅行；历程,I wish a pleasant journey to you,
travel,n./v.,旅行/旅行,"During his travels, he met many interesting people",
safari,n.,观兽旅行,We'll go on safari in Africa after the wedding,
parade,v./n.,游行；炫耀/庆祝游行；列队进行；炫耀,The sports meeting began with a parade for all the competing teams,
haunt,v./n.,（鬼魂等）常出没于/常去的地方,This cafe used to be my favorite haunt,
attraction,n.,吸引；具有吸引力的事物,The main attraction in this amusement park is a large swimming pool with salt water,
memorial,n./adj.,纪念碑/纪念的；悼念的,A memorial for victims of the blast was built,
pyramid,n.,金字塔；棱锥体,The ancient pyramid in Egypt is one of the wonders of the world,
port,n.,港口；左舷,The boy often watched the boats return to port in the late afternoon,
visa,n.,签证,You need a visa to enter that country,
traffic,n.,交通；车流,Traffic reaches a peak between 8 and 9 in the morning,
airline,n.,航空公司,The airline launched a European route for the first time,
airplane,n.,飞机,An airplane engine is a complex machanism,
helicopter,n.,直升机,The president helicoptered to that city yesterday,
jet,n.,喷气式飞机；喷气口,Developing the supersonic jet was quite an accomplishment,
parachute,n.,降落伞,The parachutes in the air look like colorful mushrooms,
flight,n.,飞行；航班,I'll book a direct flight to Shanghai for you,
pilot,n.,飞行员,A pilot must stay alert for the changes in weather,
passenger,n.,乘客,The baggage allowance per passenger is 25 kilograms,
baggage,n.,（尤美）行李,"We may have lost some pieces of baggage, so we want to make a lost-baggage report",
luggage,n.,行李,I've just been informed that my luggage had already arrived,
suitcase,n.,手提箱,Her suitcase is stuffed with her clothes,
carry-on,n./adj.,（可随身携带上飞机的）小包/随身携带上飞机的,I have two carry-on bags with me,
rack,n.,挂物架；置物架,He put his bag on the luggage rack,
freight,n./v.,货运；货物/运送（货物）,We can send these goods by air freight or by sea freight,
fare,n.,车费；路费,He didn't have enough money for the railway fare,
atlas,n.,地图册；地图集,Check where Sydney is on your atlas,
route,n.,路线,We came by a longer route than usual,
itinerary,n.,路线；行程,We have some more places to visit on our itinerary,
passage,n.,通过；通道；走廊,The bridge is not strong enough to allow for the passage of vehicles,
intersection,n.,十字路口；交叉路口,The town lies at the intersection of three motorways,
cross,n./v.,十字形；十字架/穿过,It's very dangerous for children to cross a busy road,
way,n.,路；方式,I'm on my way to the grocery,
path,n.,小路,We bumped up and down along the gravel path,
lane,n.,小巷；车道,There are many small lanes in the quiant town,
avenue,n.,大街；途径,One of the world's most beautiful avenues is the Champs-Élysées in Paris,
highway,n.,[尤美]公路,A four-lane highway connects the two towns,
curb,n.,路缘；起控制作用的事物,"I stopped and stood at the curb, trying to breathe",
signpost,n.,路标,The signpost showed us the right road to follow,
pave,v.,铺（路或地面）,The road was paved with cobblestones,
vehicle,n.,车辆；交通工具；手段；工具,Subway is a convenient vehicle for white-collar workers,
auto,n.,汽车,The auto industry has brought many people to Detroit,
express,n./v./adj.,特快列车；快递服务/表示/特快的,We have to change here for the express train,
tram,n.,[尤英]有轨电车,"If you want to go to that place, you can travel by tram",
coach,n./v.,[英]长途汽车；教练；私人教师/训练,We went to New York City by coach,
ambulance,n.,救护车,An ambulance was racing by with its siren wailing,
truck,n.,卡车；敞篷火车,They transported the goods by truck,
lorry,n.,[英]卡车,A heavy lorry is floundering in deep snow,
van,n.,厢式货车；客货车,"As the car turned the corner, it collided with a van",
wagon,n.,四轮运货马车（或牛车）；[英]（火车的）火车车厢,An ox pulls a wagon into the village,
carriage,n.,四轮马车；[英]（客运火车的）车厢,"The carriage, which he had ordered, arrived, and we drove off",
tractor,n.,拖拉机；牵引力,The tractor has been demaged owing to rough usage,
cart,n.,货运马车；手推车；购物车,A heavy cart rumbled down the street,
pedicab,n.,（人力）三轮车,They hopped on a pedicab and toured the park,
cycle,v./n.,骑/周期；自行车,"In many universities, students cycle from their dorms to the classroom or library",
garage,n.,汽车修理厂；车库,"My car broke down, and it has been towed to a garage",
motor,n./adj.,发动机/机动的,"If the battery is dead, the motor won't be started",
horsepower,n.,马力,The horsepower of the engine is not very impressive,
wheel,n.,方向盘；车轮,The driver slumped over the steering wheel,
brake,n./v.,车闸；刹车/刹车,"The car in front of me stopped suddenly, and I had to brake sharply",
"tire, tyre",n.,轮胎,My uncle jacked up his car to fix a flat tire,
honk,n./v.,汽车喇叭声；鹅叫声/按（汽车喇叭）,"The drivers honked their horns, hoping to disperse the crowd in the streets",
crew,n.,全体工作人员；一组工作人员,I'd like to thank you on your behalf of the crew,
captain,n.,船长；队长,The captain of the sinking ship used flares to attract the attention of the coast guard,
steward,n.,男乘务员；管家,He is a steward of that great mansion,
emergency,n./adj.,紧急事件/应急的,He has the ability to keep calm in emergencies,
wreck,v./n.,使失事；破坏/失事的船只；残破的东西,"Because of the tsunami, the coast was a wreck",
crash,v.,撞击；崩溃；破产,The rocks crash down onto the car,
crush,v./n.,压碎、压坏/拥挤的人群；迷恋；迷恋对象,There was such a crush on the bus that I could hardly breathe,
dash,v.,猛冲；猛摔,He dashed the bowl to bits against the ground,
vanish,v.,突然消失；绝迹,He seemed to vanish into thin air,
disappear,v.,失踪；消失,He has disappeared for three years,
hazard,n./v.,危险/使冒风险,There are many hazards in a journey across the Arctic,
"harbour, harbor",n., 港口,Our hotel room overlooked a pretty little harbour,
dock,n.,码头；船坞,The ship's hull scraped along the side of the dock,
anchor,n.,锚,We raised the anchor and set sail during the night,
submerge,v.,（使）浸没；掩盖,I watched the submarine submerge,
sailor,n.,水手；海员,A sailor is at the mercy of the weather,
seaman,n.,海员；水手,There are many skilled seamen on our ship,
carrier,n.,航空母舰；运输工具,The missile is launched from the aircraft carrier,
steamer,n.,汽船；轮船,The steamer arrived at the harbor this morning,
liner,n.,邮轮；客轮,The liner has been refitted from stern to stern 从头到尾整修,
vessel,n.,大船；舰；容器；器皿；血管,We haved cited the vessel and are following it,
ferry,n./v.,渡船/渡运,We can take the ferry that crosses the river every hour,
sail,v.,航行；驾驶（帆船）,His ship has been given the all-clear to sail,
raft,n.,木筏；木排,"After a series of adventures alone on a raft, he eventually reached the village",
canoe,n.,独木舟,We crossed the lake in a canoe,
oar,n./v.,桨/用桨划,"In dragon boat rowing, each paddler has one oar",
deck,n./v.,甲板/装饰,The deck of the sailing ship was made of thick planks,
turbine,n.,涡轮机,The turbine is spun by the high pressure gases,
propeller,n.,螺旋桨，推进器,The propeller starts to spin around,
stern,n./adj.,船尾/严厉的，苛刻的；严峻的，棘手的,She seated herself in the stern,
aboard,adv.,在（船、飞机等）上,All passengers aboard fell into the river,
embark,v.,上船、飞机等；开始做,They embarked at Liverpool for New York,
channel,n.,频道；航道；海峡,The English Channel is between France and England,
canal,n.,运河；（人体内输送食物、气体等的）管,The canal is now open to shipping,
ditch,n./v.,沟、渠/抛弃,"When the road became impassable, they ditched their car and walked",
railroad,n.,[美]铁路；铁路公司,The building of the railroad is progressing,
railway,n.,[英]铁路；铁路系统,The goods were sent to you by railway,
locomotive,n.,火车头；机车,The locomotive is detached from the train,
subway,n.,[英]地下通道；[美]地铁,There is a new subway being built,
underground,adj./n.,地下的；秘密的/[英]地铁,There is an underground passage leading to the old house,
tunnel,n.,隧道、地道,The train rolled into a tunnel and everything went black,
rail,n.,栏杆；铁路系统,The man was holding onto the rail as he walked down the stairs,
depart,v.,离开；启程,When does the next train depart?,
arrive,v.,到达；取得成功,You must arrive at the airport at least two hours in advance,
destination,n.,目的地；终点,We eventually arrived at our destination,
delay,n./v.,耽搁；延期/使耽搁；使延期,We have decided to delay our holiday until September,
postpone,v.,推迟；使延期,The match was postponed from March the 5th to March the 19th,
defer,v.,推迟；延期,We have to defer our departure because of the snowstorm,
lull,n./v.,暂停；暂时平静期/使昏昏欲睡,The monotonous sound of the train's movement lulled me to sleep,
expire,v.,期满；气绝；死亡,My passport is about to expire,
due,adj.,到期的；预期的,"If you are going to the library, would you mind returning this book for me? It's due today",
postage,n.,邮费；邮资,What is the postage for an airmail letter,
stamp,n./v.,邮票；印章/贴邮票；盖章,You can buy a stamp over there and affix it to the postcard,
envelope,n.,信封,He glued a stamp onto the envelope,
mail,n./v.,邮件；邮包；邮政/邮寄,She opened her mail and took out a vase carefully,
packet,n.,包装盒；小件包裹,The government has imposed an additional tax on a packet of cigarettes,
package,n./v.,包裹；盒；包/包装,The old town was packaged to attract tourists,
bind,v.,捆；绑,Love rules without a sword and binds without a chord,
parcel,v./n.,打包；包/土地的一块；包裹,He parcelled up the books,
load,v./n.,装载；装满/负荷；大量,The lorry was carrying a load of pineapples,
burden,v./n.,使负担/重担；负担,It's a burden I have been carrying for a long time,
transfer,v.,迁移；转移；调动,The cat has transferred her affection to her new master,
transmit,v.,传送；传染；传播；传输,Parents transmit some of their values and ideas to their children,
transit,v./n.,通过；运送/运输；通行；过境；中转,"Transit passengers, please go to the transit lounge",
deliver,v.,传送；递送,You don't have to go out into the rain since the store delivers for free,
convey,v.,运送；输送；表达；传递,It's hard to convey my feelings in words,
speed,n.,速度；迅速,The police advised motorists to reduce their speed because of the fog,
velocity,n.,速度,"The velocity of light is about 300,000 kilometers per second",
swift,adj.,迅速的；敏捷的,"With the failure of the peace talks, all hopes of a swift end to the war have flown out the window",
education,n.,教育,A good education gives your child a good start in life,
primary,adj.,初级的；主要的,The primary cause of his failure was his underestimation of the enemy,
secondary,adj.,中级的；次要的,The most important factor is price. Location is a secondary issue,
university,n.,大学,She is a student at Peking University,
college,n.,学院；大学,Their son will start college in the autumn,
institute,n.,研究所,The government set up an institute devoted to renewable energy sources,
academy,n.,专科院校；（美国的）私立学校；研究会；学会,This is an academy of music,
learn,v.,学习；得知,"It is more useful to learn modern languages, such as English and French, than Latin",
study,v./n.,学习；研究,This reference book is very useful to study from,
acquire,v.,获得；购得,We hope to acquire the knowledge within happiness,
knowledge,n.,知识,"To the young boy, his big brother was the fountain of all knowledge",
expertise,n.,专门技能,We were amazed at his expertise on herbs,
novice,n.,新手,I'm a complete novice at yoga,
recruit,v.,吸收（新成员）,The country's first act would be to recruit for the navy,
literate,adj.,有读写能力的,Over one-quarter of the adult population are not fully literate,
illiteracy,n.,文盲,We must do our best to eliminate illiteracy,
numerate,adj.,识数的；有计算能力的,All students should be numerate and literate when they leave school,
problem,n.,问题；习题,Heavy traffic poses a big problem in many big cities,
issue,n./v.,重要问题；发行。公布；发出,"On this issue, they thought as one",
affair,n.,事件；公共事件,The minister is busy with important state affairs,
controversial,adj.,有争议的,They tried to stay away from controversial topics at the dinner party,
puzzle,n./v.,难题；谜。使迷惑,He is puzzled about the matter,
riddle,n.,谜；谜语,He figured out the riddel at last,
obscure,adj.,难以理解的,Rules for the game are somewhat obscure,
"instil, instill",v., 逐渐灌输,A sense of duty must be instilled in our children,
cram,v.,把...塞进；（为应考）临时死记硬背,"Lectures were all called off, so students can cram for the semester finals",
"emphasise, emphasize",v.,强调；着重,I try to emphasize my strengths without sounding boastful,
enhance,v.,提高；增强,A good score of IELTS will enhance my change of getting the offer,
enable,v.,使能够,This dictionary will enable you to understand English words,
inspire,v.,鼓舞；给...灵感,Our task is to motivate the voters and inspire them to join our cause,
motive,n.,动机；缘由,His motive for working so hard is that he needs money,
motivate,v.,激发；驱使,Good teachers are those who can motivate their students,
stimulate,v.,刺激；激励,I'm trying to stimulate him to study harder,
spur,v./n.,鞭策；激发。马刺；刺激,Pride spur the man to fight,
impetus,n.,推动；促进；动量；惯性,The car ran down the bridge under it's own impetus,
indulge,v.,迁就；放任；沉湎；让...享受一下,You can indulge yourself without spending a fortune,
spoil,v.,宠坏；溺爱；破坏；糟蹋,You should be careful because you make a mistake which will spoil your life,
abuse,v.,滥用；虐待,It's easy to abuse one's power,
intelligent,adj.,聪明的,Clara is a highly intelligent girl,
clever,adj.,聪明的；精明的,Even clever people may do something stupid when put on the spot,
smart,adj.,聪明的；智能的,This boy is very smart. He may become another Stephen Hawking,
"all-round, all-around",adj.,有多方面才能的；全面的,She is an all-round artist,
genius,n.,天才人物；天赋,His genius is not confined to maths and physics,
elite,n.,精英,The army was controlled by a small ruling elite,
idiot,n.,白痴；傻瓜,He is behaving like an perfect idiot,
wisdom,n.,智慧；学问,Confucius's words hold a great deal of wisdom,
wit,n.,风趣的人；机智；风趣；智慧,"Holmes was a gregarious, a great wit, a man of wide interests",
aptitude,n.,天生的才能；资质,That student has an aptitude for music,
capable,adj.,有能力的；有才能的,Not everyone is capable of judging fine arts,
excellent,adj.,杰出的；优秀的,She had a high reputation for her excellent detective novels,
outstanding,adj.,突出的；杰出的,He is an outstanding athelete and deserved to win,
brilliant,adj.,光辉的；聪明的；（光线等）明亮的,He drew the curtains and brilliant sunlight flooded into the room,
prestige,n.,威望；声望,These new policies will affect the president's national and international prestige,
reputation,n.,名誉；声誉,"If a company has a good reputation, investors will natually back it",
eminent,adj.,著名的；杰出的,The students are expecting the arrival of an eminent scientist,
notorious,adj.,名声狼藉的,The notorious thief was finally caught and put to prison,
esteem,v.,尊重；尊敬,I esteem it as a privilege to attend this conference and give a report here,
respect,n./v.,尊敬；敬重,You should know how to respect to yourself before you can get respect from others,
diligent,adj.,勤勉的；勤奋的,She is diligent and busy with all kinds of experiments all the time,
painstaking,adj.,极其仔细的；辛苦的,The mastery of a language requires painstaking effort,
skill,n.,技巧,"It requires an athlete to have great skill, cool nerves and quick reflexes",
approach,n./v.,方法。接近,I like his approach to the problem,
scheme,n./v.,计划；方案；阴谋。谋划,All the schemes and intrigues are doomed to failure,
headmaster,n.,[英]男校长,His track record as a headmaster was excellent,
principal,n./adj.,[美]（中小学）校长；[英]大学校长；学院院长。首要的,He is going to resign from the position of principal,
dean,n.,（大学的）学院院长；系主任,She is the dean of the Faculty of Social Sciences,
faculty,n.,（大学的）系、院；全体教员,Faculty members devote most of their time to scholarly research,
professor,n.,教授,Our professor is learned man with great insight,
scholar,n.,学者,He is a serious scholar who is highly respected by his students,
scientist,n.,科学家,I admired him as a true scientist and a very moral man,
